,name_f
2017-08-05 00:00:00+00:00,75.58915999999999
2017-08-06 00:00:00+00:00,74.33564
2017-08-07 00:00:00+00:00,74.61752000000001
2017-08-08 00:00:00+00:00,76.88228000000001
2017-08-09 00:00:00+00:00,76.1288
2017-08-10 00:00:00+00:00,76.90729999999999
2017-08-11 00:00:00+00:00,76.87526
2017-08-12 00:00:00+00:00,75.04016
2017-08-13 00:00:00+00:00,73.787
2017-08-14 00:00:00+00:00,71.28644
2017-08-15 00:00:00+00:00,69.00368
2017-08-16 00:00:00+00:00,69.56564
2017-08-17 00:00:00+00:00,71.07854
2017-08-18 00:00:00+00:00,71.93714
2017-08-19 00:00:00+00:00,70.75148
2017-08-20 00:00:00+00:00,70.03706
2017-08-21 00:00:00+00:00,70.23668
2017-08-22 00:00:00+00:00,72.29192
2017-08-23 00:00:00+00:00,70.89872
2017-08-24 00:00:00+00:00,69.15902
2017-08-25 00:00:00+00:00,70.10888
2017-08-26 00:00:00+00:00,74.4782
2017-08-27 00:00:00+00:00,77.42264
2017-08-28 00:00:00+00:00,81.64958000000001
2017-08-29 00:00:00+00:00,86.98316
2017-08-30 00:00:00+00:00,87.02258
2017-08-31 00:00:00+00:00,90.81248
2017-09-01 00:00:00+00:00,91.52168
2017-09-02 00:00:00+00:00,91.83704
2017-09-03 00:00:00+00:00,90.8465
2017-09-04 00:00:00+00:00,76.14194
2017-09-05 00:00:00+00:00,75.91766000000001
2017-09-06 00:00:00+00:00,79.2302
2017-09-07 00:00:00+00:00,76.18693999999999
2017-09-08 00:00:00+00:00,74.14502
2017-09-09 00:00:00+00:00,72.07844
2017-09-10 00:00:00+00:00,78.32462000000001
2017-09-11 00:00:00+00:00,80.56742
2017-09-12 00:00:00+00:00,77.01512
2017-09-13 00:00:00+00:00,70.67642000000001
2017-09-14 00:00:00+00:00,67.05014
2017-09-15 00:00:00+00:00,68.69426
2017-09-16 00:00:00+00:00,68.20808
2017-09-17 00:00:00+00:00,68.06804
2017-09-18 00:00:00+00:00,67.57772
